RQ_No,RGAF,EUAIAct,UNESCOAI,ASEANAI,CoEAI
80,rgaf-safe; rgaf-transparent; rgaf-secure,euaiact-a15; euaiact-a11,unescoai-safety; unescoai-transparency; unescoai-multistakeholder,aseanai-stewardship,coeai-a8; coeai-a13
81,rgaf-safe,euaiact-a15,unescoai-safety,,
82,rgaf-accountable,,unescoai-accountability; unescoai-multistakeholder,aseanai-stewardship,
83,rgaf-transparent,euaiact-a13,unescoai-transparency,aseanai-transparency,coeai-a8; coeai-a13
84,,,,,
85,,,unescoai-multistakeholder,,
86,rgaf-safe; rgaf-transparent,euaiact-a15,unescoai-safety,aseanai-reliability,coeai-a12
87,rgaf-safe; rgaf-transparent,euaiact-a15; euaiact-a14,unescoai-safety,aseanai-transparency,coeai-a8; coeai-a13
88,rgaf-safe,euaiact-a15,unescoai-proportionality,aseanai-reliability,coeai-a13
89,rgaf-safe; rgaf-transparent,euaiact-a13,unescoai-transparency,aseanai-reliability,coeai-a12
90,rgaf-accountable,euaiact-a13,unescoai-accountability,,
91,rgaf-safe; rgaf-compliant,,unescoai-proportionality,aseanai-reliability,coeai-a12
92,rgaf-safe; rgaf-transparent,,unescoai-safety,aseanai-reliability,coeai-a13; coeai-a12
93,rgaf-transparent; rgaf-compliant,euaiact-a14,unescoai-transparency,,
94,rgaf-safe,euaiact-a15,unescoai-proportionality,aseanai-reliability,coeai-a13
95,,,unescoai-proportionality,,
96,,,,,
97,rgaf-sustainable,euaiact-a13; euaiact-a15,unescoai-sustainability,,coeai-a12
98,rgaf-sustainable,euaiact-a13; euaiact-a15,unescoai-sustainability,,coeai-a12
