rq_no,problem_area,question,n_tools,mapping_kind,harm_types,specific_harms,note
11,Attribution of Model Behavior to Data,What is the effect of problematic data on downstream system performance?,3,direct,Societal and Cultural,Information degradation | Stereotyping,Links problematic training data to degraded and skewed downstream outputs.
12,Attribution of Model Behavior to Data,Can system behaviours and/or properties be accurately attributed to pretraining and/or fine-tuning data samples?,2,enabling,Autonomy | Societal and Cultural,IP/copyright loss | Cheating/plagiarism | Information degradation,"Training-data attribution is the technical basis for copyright claims and for acknowledging whose words/ideas a generation reproduces, and for tracing hallucinations back to their source data."
13,Definition of Chip and Cluster Specifications for Model Training,"What hardware properties or chip specifications are most indicative of suitability for AI training and/or inference? How does this differ from other scientific, business, or casual uses of high-end hardware?",0,enabling,Societal and Cultural | Political and Economic,Violence/armed conflict | Power concentration,"Chip-specification thresholds are the foundation of compute controls, whose stated purpose is limiting uplift to dangerous capabilities and unchecked concentration of frontier capability."
14,Predicting Future Developments and Impacts,How could developments in AI-specific hardware impact the governability of compute?,0,enabling,Political and Economic | Societal and Cultural,Power concentration | Violence/armed conflict,Governability of compute is what keeps frontier capability from concentrating and from being diverted to weapons/attack development.
15,Definition of Chip and Cluster Specifications for Model Training,How efficiently can AI models be trained using a large number of small compute clusters?,0,enabling,Societal and Cultural | Political and Economic,Violence/armed conflict | Power concentration,Establishes whether distributed small-cluster training can evade compute-based controls.
16,Definition of Chip and Cluster Specifications for Model Training,How can decentralised training attempts be identified?,0,enabling,Societal and Cultural | Political and Economic,Violence/armed conflict | Power concentration,Detecting decentralised training closes the main evasion route for the same controls.
17,Classification of Workloads,"Can large training runs be detected while retaining developer privacy, for example through identifying signatures in processor utilisation?",0,direct,Societal and Cultural | Financial and Business,Violence/armed conflict | Confidentiality loss,"The RQ explicitly conditions detection on ""retaining developer privacy"", which is the taxonomy's Confidentiality loss (corporate/strategic information), not personal Privacy loss."
18,Classification of Workloads,"Can compute workloads be reliably classified as either training, inference, or non-AI-related, for example through identifying signatures in processor utilisation?",0,enabling,Societal and Cultural,Violence/armed conflict,Workload classification is the measurement substrate for compute-governance regimes aimed at unsanctioned frontier training.
19,Reliable Evaluations,How can the thoroughness of evaluations be measured? How can potential blindspots be identified?,6,enabling,(cross-cutting),,"Genuinely harm-agnostic: evaluation thoroughness and blindspot discovery apply identically to every harm in the taxonomy, so naming any subset would be arbitrary."
20,Preservation of Evaluation Data Integrity,How can potential data contamination be accounted for when conducting evaluations?,2,enabling,Psychological | Societal and Cultural,Over-reliance | Information degradation,"Contaminated benchmarks inflate apparent capability/safety, producing exactly the unwarranted belief in system quality and complacency that Over-reliance describes."
21,Reliable Evaluations,"How can mechanistic analysis of model internals, such as weights, activations and loss landscapes on particular data, be used to improve understanding of a model’s capabilities, limitations and weaknesses? How generalisable are such methods across models?",9,enabling,Psychological,Over-reliance,"The RQ's stated object is a model's ""limitations and weaknesses""; making those legible is the counter to unfettered belief in system accuracy."
22,Efficient Evaluations,How can methods for red-teaming models be scaled and/or automated?,5,enabling,Societal and Cultural | Psychological,Violence/armed conflict | Information degradation | Harassment/abuse/intimidation,"Red-teaming at scale is targeted at the standard misuse categories: attack/weapons uplift, disinformation generation, and abusive content."
23,(Multi-)Agent Evaluations,How can the capabilities and risks of AI agents be evaluated?,7,enabling,Societal and Cultural | Political and Economic | Autonomy,Violence/armed conflict | Critical infrastructure damage | Autonomy/agency loss,"Agent evaluation targets autonomous action risks: cyber/attack capability, disruption of essential systems, and humans losing effective control over decisions taken on their behalf."
24,(Multi-)Agent Evaluations,How can the capabilities and risks of networks of multiple interacting AI agents be evaluated?,2,enabling,Political and Economic | Societal and Cultural,Economic instability | Critical infrastructure damage | Violence/armed conflict,"Interacting-agent networks are the case where emergent collective behaviour hits markets and essential systems, not just individual users."
25,Downstream Impact Evaluations,How can the downstream societal impacts of AI systems be predicted and/or determined?,1,enabling,Societal and Cultural,Societal destabilisation | Societal inequality | Job loss/losses,"""Downstream societal impacts"" maps to the taxonomy's societal tier; these three are the impacts impact-assessment work most often instruments."
26,Downstream Impact Evaluations,How can downstream impact evaluations be scaled across languages and modalities?,2,direct,Human Rights and Civil Liberties | Societal and Cultural,Discrimination | Stereotyping,"Language is an explicitly protected attribute in the Discrimination definition, so evaluation coverage gaps across languages/modalities are themselves the mechanism by which unequal and skewed treatment goes unmeasured."
27,Downstream Impact Evaluations,How can benchmarks be designed in a way that ensures construct validity and/or ecological validity?,2,enabling,Psychological | Societal and Cultural,Over-reliance | Information degradation,Invalid benchmarks produce false beliefs about what a system can safely do.
28,Downstream Impact Evaluations,How can dynamic simulation environments be designed to better reflect real-world environments?,2,enabling,(cross-cutting),,Simulation-environment fidelity is a cross-cutting evaluation-methodology question with no specific harm attached.
29,Privacy-Preserving Third-Party Access to Datasets,How can data access be structured so as to preserve privacy while enabling meaningful auditing?,5,direct,Human Rights and Civil Liberties | Financial and Business,Privacy loss | Confidentiality loss,
30,Privacy-Preserving Third-Party Access to Datasets,How can data access be reconciled with privacy-preserving machine learning?,7,direct,Human Rights and Civil Liberties,Privacy loss,
31,Preservation of Evaluation Data Integrity,How can openly hosted datasets be prevented from contaminating training data?,1,enabling,Psychological | Societal and Cultural,Over-reliance | Information degradation,Protects the integrity of the measurements on which safety claims rest.
32,Preservation of Evaluation Data Integrity,How can independent evaluation on standardised datasets be facilitated without openly hosting evaluation datasets?,1,enabling,Psychological | Societal and Cultural,Over-reliance | Information degradation,"Same evaluation-integrity target as RQ31, approached from the hosting side."
33,Addressing Compute Inequities,How can public compute resources be allocated fairly and equitably between users?,1,direct,Societal and Cultural | Political and Economic,Societal inequality | Power concentration,"""Fairly and equitably between users"" targets differential access to compute as an amplifier of status/wealth gaps and of concentrated capability."
34,Addressing Compute Inequities,How can public compute infrastructure be developed in a way that ensures interoperability between models and/or software packages?,0,direct,Financial and Business | Political and Economic,Monopolisation | Power concentration,Interoperability of public compute is the direct counter to lock-in and unfair barriers to entry.
35,Addressing Compute Inequities,How can assurance be given that researcher compute provisions are being used for intended and stated purposes?,1,enabling,Societal and Cultural,Public service delivery deterioration | Violence/armed conflict,Assurance over publicly funded compute guards both against waste/misallocation of a public system and against diversion of subsidised compute to prohibited uses.
36,Facilitation of Third-Party Access to Models,What research and auditing methodologies are possible given a range of forms of access on the continuum between black- and white-box access?,1,enabling,Human Rights and Civil Liberties | Societal and Cultural,Discrimination | Privacy loss | Information degradation,"Access-tier methodology is generic, but the harms third-party audits are actually commissioned to find are unfair treatment, personal-data exposure, and inaccurate output."
37,Facilitation of Third-Party Access to Models,How do different forms of access affect potential risks of misuse of models?,0,direct,Societal and Cultural,Violence/armed conflict | Information degradation,"""Risks of misuse"" of released models resolves to attack/weapons uplift and mass generation of false content."
38,Facilitation of Third-Party Access to Models,How do different forms of access on the continuum between black- and white-box access affect the risk of model theft and/or duplication?,1,direct,Autonomy | Financial and Business,IP/copyright loss | Confidentiality loss,Model theft/duplication is misappropriation of the developer's IP and of confidential technical assets.
39,Facilitation of Third-Party Access to Models,How can model access requirements for research and auditing be reconciled with commercial and/or safety concerns?,1,direct,Financial and Business | Autonomy,Confidentiality loss | IP/copyright loss,"The ""commercial concerns"" side of the trade-off is exactly the confidentiality and IP interest the taxonomy names."
40,Access to Downstream User Logs and Data,How can user logs and data be used for downstream impact assessments while preserving the privacy of data subjects?,1,direct,Human Rights and Civil Liberties,Privacy loss,
41,Access to Downstream User Logs and Data,How could responsibilities for providing user data access be effectively allocated along the AI value chain?,0,enabling,Human Rights and Civil Liberties,Privacy loss,Allocating data-access duties along the value chain determines who is accountable for exposure of user data.
42,Access to Downstream User Logs and Data,What cryptographic methods can be developed to allow analysis of user interaction data without revealing individual user identities or sensitive information?,2,direct,Human Rights and Civil Liberties | Financial and Business,Privacy loss | Confidentiality loss,"""Without revealing individual user identities or sensitive information"" matches both the personal and the confidential-information harms."
43,Access to Downstream User Logs and Data,How could secure multi-party computation be leveraged to allow collaborative analysis of user logs across different entities in the AI value chain?,2,direct,Human Rights and Civil Liberties | Financial and Business,Privacy loss | Confidentiality loss,MPC across value-chain entities protects both data subjects and each party's commercially sensitive holdings.
44,Verification of Training Data,How can it be verified that a model was (not) trained on a given dataset?,4,direct,Autonomy | Human Rights and Civil Liberties,IP/copyright loss | Privacy loss,Dataset-membership verification is the evidentiary basis for both copyright claims and data-subject claims against a model.
45,Verification of Training Data,"How can it be verified that a dataset has certain properties, or (does not) include certain information?",1,direct,Human Rights and Civil Liberties | Autonomy,Privacy loss | IP/copyright loss,"""Does not include certain information"" is in practice personal data or licensed material."
46,Verification of Training Data,How can membership inference attacks be optimised for large-scale verification of training data in black-box settings?,2,direct,Human Rights and Civil Liberties | Autonomy,Privacy loss | IP/copyright loss,Membership inference repurposed as an audit tool serves the same two claims as RQ44.
47,Verification of Training Data,How could the verification process for correct use of licensed data in AI model training be formalised?,2,direct,Autonomy,IP/copyright loss,
48,Verification of Chip Location,How can the location of AI hardware be verified?,0,direct,Societal and Cultural | Political and Economic,Violence/armed conflict | Power concentration,Chip-location verification exists to enforce export controls against diversion to hostile military/attack use.
49,Verification of Chip Location,How can on-chip geolocation mechanisms be made robust to existing GPS spoofing methods?,0,direct,Societal and Cultural,Violence/armed conflict,Anti-spoofing hardens the same export-control enforcement.
50,Verification of Compute Workloads,"Can trusted execution environments be used to robustly attest to the identity of the specific chip, or the data that it is processing?",5,enabling,Societal and Cultural | Financial and Business,Violence/armed conflict | Confidentiality loss,TEE attestation supports compute-use verification while shielding the attested workload's contents from the verifier.
51,Verification of Compute Workloads,What methods can be used to verify compute usage without the use of trusted execution environments?,0,enabling,Societal and Cultural,Violence/armed conflict,Alternative route to the same compute-usage verification goal.
52,Verification of Compute Workloads,"How can trusted execution environments and their applications be designed in a way that limits their potential for misuse, for example through unnecessarily-broad surveillance?",0,direct,Human Rights and Civil Liberties | Financial and Business | Societal and Cultural,Privacy loss | Confidentiality loss | Chilling effect,"This RQ is explicitly about the governance mechanism's own misuse potential -- ""unnecessarily-broad surveillance"" -- so it targets exposure of personal and corporate information and the self-censorship such monitoring induces."
53,Verification of Compute Workloads,How can the computational overhead of verification mechanisms be reduced to a level that enables application across large compute clusters?,0,enabling,Societal and Cultural,Violence/armed conflict,Overhead reduction is what makes the compute-verification regime deployable at cluster scale; no harm of its own.
54,Verification of Model Properties,How can model properties be verified with full access to the model?,7,enabling,(cross-cutting),,"""Model properties"" is left unspecified in the RQ text, so any harm list would be invented rather than grounded."
55,Verification of Model Properties,"How can the risk associated with a given context, query, and AI response be assessed in order to obtain assurances about the system's compliance with safety requirements?",5,direct,Societal and Cultural | Psychological,Violence/armed conflict | Information degradation | Self-harm,"Per-query risk assessment against safety requirements targets the canonical refusal categories: attack/weapons assistance, false information, and self-harm-related content."
56,Verification of Dynamic Systems,"What should constitute the lower bar for tracking updates to models, for example in a model registry?",4,enabling,Political and Economic,Institutional trust loss,Model registries are an oversight instrument; the harm they guard against is erosion of the checks and balances that make public scrutiny of AI meaningful.
57,Proof of Learning,Could proof-of-learning be used to demonstrate and verify model ownership?,1,direct,Autonomy,IP/copyright loss,Model ownership is the IP interest at stake.
58,Proof of Learning,How can proof-of-learning mechanisms be made robust to adversarial spoofing?,0,direct,Autonomy,IP/copyright loss,Spoofing-resistance protects the same ownership claim from false assertion.
59,Verifiable Audits,How can audit registries be used to provide end-to-end verification along the AI value chain?,4,enabling,Political and Economic | Reputational,Institutional trust loss | Loss of confidence/trust,End-to-end audit registries underpin both public-institutional oversight and the ability of counterparties to trust a supplier's claims.
61,Verifiable Audits,How should verification information from model registries be presented to users?,3,direct,Psychological | Reputational,Over-reliance | Loss of confidence/trust,"Presentation to users is about calibrating user belief in a system's verified status -- too much yields complacency, too little or misleading presentation yields unwarranted distrust."
62,Verifiable Audits,"Can zero-knowledge proofs be applied to demonstrate a model’s compliance with hypothetical mandated criteria, without directly disclosing architectural details?",1,direct,Financial and Business | Autonomy,Confidentiality loss | IP/copyright loss,"ZK proofs are proposed precisely so compliance can be demonstrated ""without directly disclosing architectural details""."
63,Verifiable Audits,How can it be verified that the model version on which an evaluation or audit was performed is the same as is deployed?,3,enabling,Political and Economic | Reputational,Institutional trust loss | Loss of confidence/trust,"Guards against the audited-model/deployed-model swap, which would hollow out every downstream assurance."
64,Verifiable Audits,How can the implementation of safety measures be verified at deployment?,1,enabling,Societal and Cultural,Violence/armed conflict | Information degradation,Verifying that safety measures are actually live at deployment protects the misuse categories those measures exist to block.
65,Verification of AI-generated Content,How can output watermarking schemes be made robust to adversarial attempts at removal?,3,direct,Societal and Cultural | Autonomy | Political and Economic,Information degradation | Impersonation/identity theft | Electoral interference,"Robust watermarking is the provenance signal against synthetic false content, deepfake impersonation, and voter-targeted fabrication."
66,Verification of AI-generated Content,How can metadata watermarking be applied to AI-generated content?,3,direct,Societal and Cultural | Autonomy,Information degradation | Impersonation/identity theft,Metadata-level provenance serves the same synthetic-content harms as RQ65.
67,Verification of AI-generated Content,How robust can AI content detectors be expected to be in light of continuing advances in generative AI?,3,direct,Societal and Cultural | Political and Economic,Information degradation | Cheating/plagiarism | Electoral interference,"Detector robustness governs whether synthetic disinformation, election fabrication, and unacknowledged AI-authored work can be identified at all."
68,Verification of AI-generated Content,How should AI-generated content detectors handle cases of genuine images that have been modified or edited with AI tools?,2,direct,Societal and Cultural | Reputational,Information degradation | Cheating/plagiarism | Defamation/libel/slander,"This RQ is about detector false positives on genuine-but-edited material; the AIAAIC precedent (AI detectors falsely accusing students) shows the harm is a false accusation about a person's work, not just ecosystem noise."
69,Detection and Prevention of Training Data Extraction,How can attempted data extraction attacks be reliably identified?,0,direct,Human Rights and Civil Liberties | Financial and Business,Privacy loss | Confidentiality loss,Training-data extraction exposes memorised personal data and confidential documents.
70,Detection and Prevention of Training Data Extraction,How can AI systems be made robust to data extraction attacks?,1,direct,Human Rights and Civil Liberties | Financial and Business,Privacy loss | Confidentiality loss,
71,Securing AI Intellectual Property Using Hardware Mechanisms,How can hardware-enabled governance methods be implemented at scale to ensure the security of a compute cluster?,0,direct,Autonomy | Financial and Business,IP/copyright loss | Confidentiality loss | Business operations/infrastructure damage,"Cluster-level hardware security protects weights as IP, the confidential material they encode, and the cluster itself as a business system against cyberattack."
72,Securing AI Intellectual Property Using Hardware Mechanisms,"How can it be ensured that given code, along with model weights, can only be executed with a licence that is verified on-chip, so that distributed AI executables can only be run on approved chips?",0,direct,Autonomy | Societal and Cultural,IP/copyright loss | Violence/armed conflict,On-chip licence enforcement is simultaneously an IP-protection mechanism and a use-restriction mechanism against unapproved deployment.
73,Securing AI Intellectual Property Using Hardware Mechanisms,How can on-chip governance firmware be modified or updated while the chip is in operation while remaining resistant to potential attacks?,0,enabling,Financial and Business | Societal and Cultural,Business operations/infrastructure damage | Violence/armed conflict,Secure firmware update prevents attackers from subverting the on-chip governance layer that the other compute-security RQs depend on.
74,Securing AI Intellectual Property Using Hardware Mechanisms,How secure are existing implementations of trusted execution environments on AI accelerators?,0,direct,Financial and Business | Autonomy,Confidentiality loss | IP/copyright loss,TEE security on accelerators is what keeps processed data and weights from third-party exposure.
75,Anti-Tamper Hardware,How can methods for tamper-evidence or responsiveness be reconciled with the performance demands of high-end AI accelerators?,0,enabling,Autonomy | Societal and Cultural,IP/copyright loss | Violence/armed conflict,Anti-tamper protects weights physically and keeps diverted/repurposed accelerators from silently escaping controls.
76,Anti-Tamper Hardware,How secure are existing approaches to tamper-evidence and responsiveness?,0,enabling,Autonomy | Societal and Cultural,IP/copyright loss | Violence/armed conflict,"Same target as RQ75, assessed empirically."
77,Anti-Tamper Hardware,How can tamper-proofing methods incorporate self-destruct mechanisms in case of attempted tampering?,0,enabling,Autonomy | Societal and Cultural,IP/copyright loss | Violence/armed conflict,"Self-destruct on tamper is a last-resort protection of weights and of the control regime; the property damage it causes is intended, not a harm the research addresses."
78,Enforcement of Compute Usage Restrictions,How could the use of high-end chips in training foundation models be prevented?,0,direct,Societal and Cultural | Political and Economic,Violence/armed conflict | Power concentration,Preventing unsanctioned frontier training is aimed at capability uplift for attack/weapons work and at unchecked capability concentration.
79,Enforcement of Compute Usage Restrictions,Can enforceable mechanisms be developed to allow for the export of chips under predefined conditions?,0,direct,Societal and Cultural | Political and Economic,Violence/armed conflict | Power concentration,Conditional export enforcement is the same control regime applied at the border.
80,Prevention of Model Theft,What cybersecurity measures can be taken at the infrastructure level to protect model weights from theft by an adversary?,3,direct,Autonomy | Financial and Business | Societal and Cultural,IP/copyright loss | Confidentiality loss | Violence/armed conflict,Weight theft is both an IP/confidentiality loss for the developer and the fastest route by which a safeguarded model reaches an actor who will strip its safeguards.
81,Prevention of Model Theft,How can models be protected from inference attacks aiming to reproduce or replicate model weights and architecture?,1,direct,Autonomy | Financial and Business,IP/copyright loss | Confidentiality loss,
82,Shared Model Governance,What are the most promising methods for enabling shared model governance?,0,enabling,Political and Economic | Societal and Cultural,Power concentration | Violence/armed conflict,Shared governance mechanisms exist so no single party holds unilateral control over a high-capability model.
83,Model Disgorgement and Machine Unlearning,How should the success of different model unlearning techniques be evaluated?,4,direct,Human Rights and Civil Liberties | Autonomy,Privacy loss | IP/copyright loss,Unlearning/disgorgement is the remedy demanded in data-subject erasure and copyright-infringement cases; evaluating it determines whether that remedy is real.
84,Model Disgorgement and Machine Unlearning,How can it be ensured that machine unlearning and model editing techniques do not cause unwanted side-effects such as removing concepts that were not explicitly targeted?,2,direct,Societal and Cultural | Human Rights and Civil Liberties,Information degradation | Privacy loss,"Collateral removal of untargeted concepts degrades the model's factual output quality, which is the cost side of an otherwise privacy/IP-motivated intervention."
85,Model Disgorgement and Machine Unlearning,How effective are model unlearning and model editing techniques when applied to multilingual and/or multimodal models?,1,direct,Human Rights and Civil Liberties | Autonomy,Privacy loss | Discrimination | IP/copyright loss,Discrimination is included because language is a protected attribute in its definition: unlearning that works only in high-resource languages delivers the erasure remedy unequally.
86,Detection and Handling of Adversarial Attacks,How can the robustness of methods for detecting adversarial attacks be improved?,4,enabling,Societal and Cultural | Financial and Business,Violence/armed conflict | Business operations/infrastructure damage,Adversarial-attack detection at deployment guards against both the safeguard-bypass route to dangerous outputs and the disruption of the deployed system itself.
87,Detection and Handling of Adversarial Attacks,What interventions are most effective for handling detected adversarial attacks at inference time?,4,enabling,Societal and Cultural | Financial and Business,Violence/armed conflict | Business operations/infrastructure damage,Response-side counterpart to RQ86.
88,Modification-Resistant Models,"How can a model be made resistant to being fine-tuned for malicious tasks, while still allowing for benign fine-tuning?",1,direct,Societal and Cultural,Violence/armed conflict | Information degradation,"Fine-tuning for ""malicious tasks"" is the standard safeguard-stripping pathway to attack-capable and disinformation-optimised models."
89,Detection and Authorisation of Dual-Use Capability at Inference Time,How can the request of dual-use system capabilities be reliably detected?,3,direct,Societal and Cultural | Political and Economic,Violence/armed conflict | Critical infrastructure damage,"""Dual-use capabilities"" in this literature means CBRN and offensive-cyber assistance."
90,Detection and Authorisation of Dual-Use Capability at Inference Time,How could authorisation of user identity be used as a gate for dual-use model capabilities?,1,direct,Societal and Cultural | Political and Economic,Violence/armed conflict | Critical infrastructure damage,Identity-gating is the access-control counterpart to RQ89's detection.
91,Translation of Governance Goals into Policies and Requirements,"What system properties (if any) are the most reliable indicators of risk, and thus candidates for serving as regulatory targets?",4,enabling,(cross-cutting),,Asks which properties should be regulatory targets at all; deliberately harm-agnostic across the whole taxonomy.
92,Translation of Governance Goals into Policies and Requirements,"How can AI safety, reliability, and other technical requirements be standardised given an insufficient explanatory understanding of model behaviour?",8,enabling,(cross-cutting),,"Standardisation methodology applying to any safety or reliability requirement, hence to any harm."
93,Deployment Corrections,What are general intervention and correction options if flaws with a model are identified post deployment?,5,enabling,(cross-cutting),,Post-deployment correction is a remediation capability that applies to whichever harm the discovered flaw happens to produce.
94,Understanding Associated Risks,"What risks, whether from intended or unintended harm, are associated with different (types of) systems?",6,enabling,(cross-cutting),,This is the meta-question that the harm taxonomy itself answers; mapping it to a subset of harms would be circular.
95,Understanding Associated Risks,How do potential risks differ across domains?,2,enabling,(cross-cutting),,Domain-comparative risk question spanning the full taxonomy.
96,Predicting Future Developments and Impacts,How can trends and/or properties observed in current systems be extrapolated to make predictions about future systems?,0,enabling,(cross-cutting),,Forecasting methodology with no harm-specific commitment in the question text.
97,Assessing Environmental Impacts,What information about systems is needed to accurately assess the environmental impact of its development and deployment?,2,direct,Environmental,Carbon emissions | Excessive energy consumption | Excessive water consumption | Electronic waste,"Names environmental impact explicitly; these four are the environmental harms that reporting/disclosure requirements can actually capture (as against upstream extraction and pollution, which the RQ does not reach)."
98,Assessing Environmental Impacts,"Given the required information, how can the environmental impact of an AI system be accurately assessed?",2,direct,Environmental,Carbon emissions | Excessive energy consumption | Excessive water consumption | Electronic waste,Measurement-side counterpart to RQ97.
