id,tool_type,name,summary,license,programming_language,homepage,source,documentation,funding,funder,paper_url,dependents,datetime_added,datetime_checked,datetime_updated,keywords,stars,forks,watchers,contributors,sponsors,last_commit_date,open_issues_count,releases_count,latest_release_date,readme_url,license_url,governance_url,contributing_url,code_of_conduct_url,security_policy_url,sbom_url,openssf_best_practices_url,openssf_best_practices_badge_level,openssf_scorecard_url,openssf_scorecard_score,openssf_scorecard_branch_protection,openssf_scorecard_code_review,openssf_scorecard_maintained,openssf_scorecard_vulnerabilities,development_status,software_heritage_id
go-tpm-remote-attestation,software,go-tpm Remote Attestation,"Reference implementation of a TPM-based remote attestation protocol over gRPC, covering endorsement key verification, quote/verify and attestation-bound key sealing.",,,,https://github.com/salrashid123/go_tpm_remote_attestation.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
tf-encrypted,software,TF Encrypted,"Framework for encrypted machine learning in TensorFlow, running training and inference under secure multi-party computation without exposing the underlying data.",,,,https://github.com/tf-encrypted/tf-encrypted.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
inclavare-containers,software,Inclavare Containers,Confidential container runtime that launches OCI containers inside enclaves and provides remote attestation of the enclave runtime.,,,,https://github.com/inclavare-containers/inclavare-containers.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
blindai,software,BlindAI,"Confidential AI inference server that runs models inside secure enclaves so neither the operator nor the client sees the other's data or weights, with client-side attestation verification.",,,,https://github.com/mithril-security/blindai.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
conclave-core-sdk,software,Conclave Core SDK,"SDK for writing Intel SGX enclaves in Java, Kotlin and Python, with built-in remote attestation and constraint checking on the client side.",,,,https://github.com/R3Conclave/conclave-core-sdk.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
acai,software,ACAI,"Extension of Arm Confidential Computing Architecture that brings GPUs and FPGAs inside the confidential VM's trust boundary, with a security analysis of the gaps in existing accelerator TEE designs.",MIT,,,https://github.com/sectrs-acai/acai.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
diffuse,software,Diffuse,"Peer-to-peer inference network that shards a model vertically across nodes, so each node holds only part of the weights and only encrypted activations cross the network.",,,,https://github.com/diffuse-systems/diffuse.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
openfhe,software,OpenFHE,"Open-source library implementing the major fully homomorphic encryption schemes (BFV, BGV, CKKS, DM/CGGI) with bootstrapping and scheme switching.",,,,https://github.com/openfheorg/openfhe-development.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
tinynmc,software,tinynmc,Compact pure-Python implementation of a secure multi-party computation protocol for arithmetic sum-of-products expressions with a non-interactive computation phase.,,,,https://github.com/NillionNetwork/tinynmc.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
transformer-vm,software,Transformer VM,"Deterministic transformer-shaped runtime that records its execution trace and proves the computation with a transparent STARK, cross-checked against native, Burn and ONNX engines.",,,,https://github.com/AbdelStark/llm-provable-computer.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidential-federated-compute,software,Confidential Federated Compute,"TEE-hosted, reproducibly-built server binaries for federated learning and analytics, so clients can verify by attestation which code will process their uploaded data.",,,,https://github.com/google-parfait/confidential-federated-compute.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
verifiable-mpc,software,Verifiable MPC,Zero-knowledge proof scheme layered on the MPyC framework so parties can verify an MPC computation was carried out correctly without learning each other's inputs.,,,,https://github.com/toonsegers/verifiable_mpc.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
fleet-intelligence-agent,software,Fleet Intelligence Agent,"Host agent for GPU fleets that collects device telemetry and attestation evidence alongside enrolled node identity, exporting via REST, Prometheus or OpenTelemetry.",,,,https://github.com/dsx-ai-factory/fleet-intelligence-agent.git,,,,,,2026-09-14 15:01,2026-09-14 15:01,2026-09-14 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
