id,name,source,programming_language
presidio,Presidio,https://github.com/data-privacy-stack/presidio.git,Python
project-codeguard,Project CodeGuard,https://github.com/cosai-oasis/project-codeguard.git,Python
project-moonshot,Project Moonshot,https://github.com/aiverify-foundation/moonshot.git,Python
pyrit,PyRIT,https://github.com/microsoft/PyRIT.git,Python
pysyft,PySyft,https://github.com/OpenMined/PySyft.git,Python
quanda,Quanda,https://github.com/dilyabareeva/quanda.git,Jupyter Notebook
quantus,Quantus,https://github.com/understandable-machine-intelligence-lab/Quantus.git,Jupyter Notebook
repe,Representation Engineering (RepE),https://github.com/andyzoujm/representation-engineering.git,Jupyter Notebook
robustbench,RobustBench,https://github.com/RobustBench/robustbench.git,Python
sacro-ml,SACRO-ML,https://github.com/AI-SDC/SACRO-ML.git,Python
sam247-openredaction,OpenRedaction,https://github.com/sam247/openredaction.git,TypeScript
samsung-lpvs,LPVS (License Pre-Validation Service),https://github.com/Samsung/LPVS.git,Java
scancode-toolkit,ScanCode Toolkit,https://github.com/aboutcode-org/scancode-toolkit,Python
seekingdream-dycodeeval,DyCodeEval,https://github.com/SeekingDream/DyCodeEval.git,Python
shap,SHAP,https://github.com/shap/shap.git,Jupyter Notebook
synthetic-data-generator,Synthetic Data Generator (SDG),https://github.com/hitsz-ids/synthetic-data-generator.git,Python
tensorflow-data-validation,TensorFlow Data Validation (TFDV),https://github.com/tensorflow/data-validation.git,Python
trustllm,TrustLLM toolkit,https://github.com/HowieHwong/TrustLLM.git,Python
trustyai,TrustyAI Explainability,https://github.com/trustyai-explainability/trustyai-explainability.git,Java
vgel-repeng,repeng,https://github.com/vgel/repeng.git,Jupyter Notebook
videoseal,Video Seal,https://github.com/facebookresearch/videoseal.git,Python
what-if-tool,What-If Tool,https://github.com/PAIR-code/what-if-tool.git,HTML
wibe,WIBE,https://github.com/ispras/wibe.git,Python
neuronpedia,Neuronpedia,https://github.com/hijohnnylin/neuronpedia,TypeScript
granite-guardian,Granite Guardian,https://github.com/ibm-granite/granite-guardian,Jupyter Notebook
icx360,ICX360,https://github.com/IBM/ICX360,Python
contextual-privacy-llm,Contextual Privacy for LLMs,https://github.com/IBM/contextual-privacy-LLM,Python
dstack,dstack,https://github.com/Dstack-TEE/dstack,Rust
confidential-computing-zoo,Confidential Computing Zoo (CCZoo),https://github.com/intel/confidential-computing-zoo,C++
tamperbench,TamperBench,https://github.com/criticalml-uw/TamperBench,Python
xdmod,Open XDMoD,https://github.com/ubccr/xdmod,PHP
trustee,Trustee,https://github.com/confidential-containers/trustee,Rust
cmc,CMC (Fraunhofer AISEC),https://github.com/Fraunhofer-AISEC/cmc,C
gce-tcb-verifier,GCE TCB Verifier,https://github.com/google/gce-tcb-verifier,Go
