id,tool_type,name,summary,license,programming_language,homepage,source,documentation,funding,funder,paper_url,dependents_count,datetime_added,datetime_checked,datetime_updated,stars,forks,watchers,contributors,last_commit_date,open_issues_count,releases_count,latest_release_date,readme_url,license_url,governance_url,contributing_url,code_of_conduct_url,security_policy_url,sbom_url,openssf_best_practices_url,openssf_best_practices_badge_level,openssf_scorecard_url,openssf_scorecard_score,openssf_scorecard_branch_protection,openssf_scorecard_code_review,openssf_scorecard_maintained,openssf_scorecard_vulnerabilities,development_status,software_heritage_id
aisev,software,AI Safety Evaluation Environment,"Dockerised evaluation tool and dataset suite from Japan AISI that operationalises the ten evaluation perspectives of its AI safety evaluation guide, combining statistical evaluation of system inputs/outputs with a qualitative evaluator questionnaire and automatic red-teaming prompt generation.",,,https://github.com/Japan-AISI/aisev,https://github.com/Japan-AISI/aisev.git,,,,,0,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
amazon-sagemaker-clarify,software,,"A Python library that computes bias metrics over datasets and model predictions with respect to user-declared sensitive facets and labels, producing a consolidated bias report.",,,https://github.com/aws/amazon-sagemaker-clarify,https://github.com/aws/amazon-sagemaker-clarify.git,,,,,0,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
americanexpress-earlybird,software,,"Go tool that scans source repositories, local files, or git remotes for sensitive data such as cleartext passwords, PII, keys and weak cryptography.",,,https://github.com/americanexpress/earlybird,https://github.com/americanexpress/earlybird.git,,,,,0,2026-07-27 13:00,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
anchore-grant,software,,"CLI and Go library that inventories licenses across container images, SBOMs and filesystems and enforces allow/deny license policies for CI/CD.",,,https://github.com/anchore/grant,https://github.com/anchore/grant.git,,,,,,2026-07-27 13:00,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
api-police,software,,"Black-box, API-only tool that verifies whether a third-party AI API is genuinely serving its claimed model, via a 7-layer verification framework (tokenizer fingerprints, capabilities, behavioural patterns, log-prob distributions, performance profile, knowledge boundaries, direct probes).",,,https://github.com/Jorwnpay/API-Police,https://github.com/Jorwnpay/API-Police.git,,,,,,2026-07-28 23:51,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
argus-redteam,software,,"Black-box red-team testing framework for AI agents: 160+ adversarial probes (OWASP LLM Top 10, MITRE ATLAS, NIST AI RMF, garak wrappers, TAP/PAIR/GCG) targeting the production agent attack surface.",,,https://github.com/gy15901580825/Argus,https://github.com/gy15901580825/Argus.git,,,,,,2026-07-29 00:11,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
assurance-platform,software,TEA Platform,"Trustworthy and Ethical Assurance Platform - Web-based tool for building structured, graphical assurance cases -- evidence-backed arguments demonstrating how goals like fairness, explainability, safety or sustainability were achieved over a project's lifecycle.",,,https://github.com/alan-turing-institute/AssurancePlatform,https://github.com/alan-turing-institute/AssurancePlatform.git,,,,,,2026-07-29 02:38,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
awslabs-ferret-scan,software,,"Offline Go CLI and library that detects PII, secrets and credentials in files and streams with context-aware confidence scoring and format-preserving redaction.",,,https://www.ferretscan.com,https://github.com/awslabs/ferret-scan.git,,,,,,2026-07-27 13:00,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
boinc,software,,"Open-source middleware for volunteer and grid computing, distributing scientific compute workloads across contributed resources with resource-share weighting and credit accounting.",,,https://boinc.berkeley.edu,https://github.com/BOINC/boinc.git,,,,,,2026-07-29 02:44,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
c2pa-rs,software,,Rust implementation of the C2PA (Coalition for Content Provenance and Authenticity) standard: embeds and verifies cryptographically signed manifests recording an asset's source and edit history.,,,https://contentauthenticity.org/,https://github.com/contentauth/c2pa-rs,https://opensource.contentauthenticity.org/docs/rust-sdk/,,,,,2026-07-28 12:58,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
captum,software,,Model interpretability and understanding library for PyTorch.,,,https://github.com/meta-pytorch/captum,https://github.com/meta-pytorch/captum.git,,,,,,2026-07-29 02:08,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
carbynestack,software,,Cloud-native secure multi-party computation stack for deploying MPC applications across organizational boundaries.,,,https://carbynestack.io/,https://github.com/carbynestack/carbynestack,,,,,,2026-07-28 20:14,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
ccfingerprint,software,,"CLI tool that probes a deployed AI model with capability/knowledge questions and locally, deterministically scores the answers to detect silent model swaps or capability downgrades behind an API, without trusting the model's self-report.",,,https://honeymeta.com/ccfingerprint,https://github.com/HoneyMeta/ccfingerprint,,,,,,2026-07-28 13:43,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
circuit-breakers,software,,"Reference implementation of representation-engineering-based circuit breaking, which retrains a model so that harmful internal representations are rerouted and generation is short-circuited during inference.",,,https://github.com/GraySwanAI/circuit-breakers,https://github.com/GraySwanAI/circuit-breakers.git,,,,,,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
cleanlab,software,,"Data quality library using confident learning to automatically detect label errors, outliers and other problematic data at scale in real-world datasets.",,,https://github.com/cleanlab/cleanlab,https://github.com/cleanlab/cleanlab.git,,,,,,2026-07-29 02:53,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
cloakllm,software,,"Open-source PII protection middleware for LLM prompts: reversible tokenization, per-entity HMAC-SHA256 hashing for cross-request correlation without storing PII, and cryptographically signed tamper-evident audit logs.",,,https://github.com/cloakllm/,https://github.com/cloakllm/CloakLLM,,,,,,2026-07-28 19:45,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
cmc,software,,"Academic (Fraunhofer AISEC) toolkit for remote attestation of computing platforms and attested TLS/HTTPS channels between them, supporting TPM, AMD SEV-SNP, Intel SGX and other TEE technologies.",,,https://github.com/Fraunhofer-AISEC/cmc,https://github.com/Fraunhofer-AISEC/cmc,,,,,,2026-07-29 15:27,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
codecarbon,software,,"Lightweight Python library and CLI that estimates the electricity consumption of CPU, GPU and RAM during a compute run and converts it to CO2 emissions using the carbon intensity of the region.",,,https://docs.codecarbon.io/,https://github.com/mlco2/codecarbon.git,,,,,,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
compl-ai,software,,"Compliance-centred LLM benchmarking suite built on the Inspect framework that pairs a technical interpretation of the EU AI Act with 29+ mapped benchmarks and a complai eval CLI covering API, cloud and local providers.",,,https://compl-ai.org,https://github.com/compl-ai/compl-ai.git,,,,,,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
confidential-computing-zoo,software,Confidential Computing Zoo,"Intel's collection of code-ready reference solutions applying TEE (SGX/TDX), homomorphic encryption, and remote attestation to real cloud business scenarios, including cloud-native AI inference on AWS/Azure/Alibaba/Tencent.",,,https://github.com/intel/confidential-computing-zoo,https://github.com/intel/confidential-computing-zoo,,,,,,2026-07-29 15:13,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
contextual-privacy-llm,software,,"Local pipeline that detects a user's intent behind a query, identifies which prompt details are unnecessary for that intent, and reformulates the prompt to strip out-of-context private information before it reaches a conversational agent.",,,https://github.com/IBM/contextual-privacy-LLM,https://github.com/IBM/contextual-privacy-LLM,,,,,,2026-07-29 11:39,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
cosai-risk-map,software,,"Cross-industry (Google/Microsoft/OpenAI/Anthropic/IBM/Cisco et al., under OASIS) framework mapping AI-lifecycle components to risks, controls and personas as machine-readable YAML/JSON, plus an interactive web explorer, aligned with MITRE ATLAS, NIST AI RMF, STRIDE and OWASP LLM Top 10.",,,https://cosai-oasis.github.io/secure-ai-tooling/,https://github.com/cosai-oasis/secure-ai-tooling.git,,,,,,2026-07-29 02:51,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
dangerous-capability-evaluations,software,,"DeepMind's evaluation tasks/benchmarks (CTF, self-proliferation, self-reasoning challenges) for probing whether frontier models exhibit dangerous dual-use capabilities.",,,https://github.com/google-deepmind/dangerous-capability-evaluations,https://github.com/google-deepmind/dangerous-capability-evaluations.git,,,,,,2026-07-29 00:03,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
data-prep-kit,software,,"Linux Foundation toolkit of composable data transforms for cleansing, filtering and enriching unstructured pre-training and RAG data, running on Python and Ray runtimes from a laptop up to Kubernetes/Tekton datacenter pipelines.",,,https://data-prep-kit.github.io/data-prep-kit/,https://github.com/data-prep-kit/data-prep-kit.git,,,,,,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
datafog-python,software,,"Offline Python library for detecting and redacting PII via regex and optional NER, with a distributed Spark profile for scanning large datasets.",,,https://datafog.ai,https://github.com/DataFog/datafog-python.git,,,,,,2026-07-27 13:00,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
datainfra-redactioneverything,software,,"Local-first redaction workbench that combines NER, OCR and visual grounding to detect and anonymize sensitive text and visual elements (names, IDs, seals, faces, signatures) across documents, scanned PDFs and images, with batch processing and export.",,,https://github.com/TracyWang95/DataInfra-RedactionEverything,https://github.com/TracyWang95/DataInfra-RedactionEverything.git,,,,,,2026-07-27 13:00,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
decodingtrust,software,,"Comprehensive trustworthiness assessment suite for LLMs with scripts and data organised into eight areas: toxicity, stereotype and bias, adversarial robustness, out-of-distribution robustness, privacy, robustness to adversarial demonstrations, machine ethics and fairness.",,,https://decodingtrust.github.io/,https://github.com/AI-secure/DecodingTrust.git,,,,,,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
deepchecks,software,,"Continuous validation and testing suite for ML models and data, covering data integrity, distribution drift, and model performance checks.",,,https://github.com/deepchecks/deepchecks,https://github.com/deepchecks/deepchecks.git,,,,,,2026-07-29 02:53,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
deepfakebench,software,,"Comprehensive benchmark suite for deepfake detection: unified data processing, training/evaluation of 15+ detector models, and standardized evaluation protocols. Licensed CC BY-NC 4.0 (non-commercial, not OSI-approved open source) -- flagged for review, not a standard permissive/copyleft license.",,,,https://github.com/SCLBD/DeepfakeBench,,,,,,2026-07-28 12:58,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
deepsafe,software,,"Modular, self-hostable platform that runs an ensemble of deepfake detection models (image/video/audio) behind a single API gateway, fusing their outputs via voting/averaging/stacking.",,,,https://github.com/siddharthksah/DeepSafe,,,,,,2026-07-28 12:58,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
diffprivlib,software,,"IBM's differential privacy library, exposing DP mechanisms in a scikit-learn-compatible API for privacy-preserving machine learning.",,,,https://github.com/IBM/differential-privacy-library,,,,,,2026-07-28 20:14,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
dsgai-scanner,software,,"OWASP GenAI Data Security Initiative's versioned scanner auditing GenAI/agentic repos against 21 data-security controls (credential/identity risk, training-data exposure, RAG access control, supply-chain CVE enrichment) via 107 pattern-matching rules, with SARIF/HTML output.",,,https://github.com/GenAI-Security-Project/GenAI-Data-Security-Initiative,https://github.com/GenAI-Security-Project/GenAI-Data-Security-Initiative.git,,,,,,2026-07-29 02:56,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
dstack,software,,"Open framework for confidential AI: runs model-serving containers inside Intel TDX / AMD SEV-SNP confidential VMs with NVIDIA H100 confidential computing, so weights stay encrypted in memory and unreadable even to a compromised host, with remote attestation for verifiable deployment.",,,https://docs.phala.com/dstack,https://github.com/Dstack-TEE/dstack,https://docs.phala.com/dstack,,,,,2026-07-29 15:13,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
duplodocus,software,,"High-performance exact and fuzzy (MinHash) deduplication CLI for large-scale text datasets, in Rust.",,,,https://github.com/allenai/duplodocus,,,,,,2026-07-28 20:14,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
easyedit,software,,"Easy-to-use knowledge editing and model-editing framework for LLMs, implementing memory-based, meta-learning, locate-then-edit and parameter-efficient methods, with dedicated multilingual (CKnowEdit) and multimodal (MiniGPT-4, BLIP-2, LLaVA-OneVision, Qwen2-VL) editors.",,,https://github.com/zjunlp/EasyEdit,https://github.com/zjunlp/EasyEdit.git,,,,,,2026-07-28 23:22,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
ecologits,software,,Tracks the energy consumption and environmental footprint of using generative AI models through API calls.,,,https://github.com/mlco2/ecologits,https://github.com/mlco2/ecologits.git,,,,,,2026-07-29 00:03,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
embedding-fingerprints,software,,"Given an embedding vector, identifies which model produced it by classifying characteristic numerical patterns in the model's output distribution. No LICENSE file or license declaration was found in the repo -- flagged for review, do not assume a permissive license.",,,https://embedding-inversion-demo.jina.ai,https://github.com/jina-ai/embedding-fingerprints,,,,,,2026-07-28 13:43,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
erasure,software,,"Extensible framework for defining and running machine unlearning experiments, with 13+ pre-built unlearning methods for systematic comparative evaluation.",,,https://github.com/aiim-research/ERASURE,https://github.com/aiim-research/ERASURE.git,,,,,,2026-07-29 00:03,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
euconform,software,,"EU AI Act compliance tool performing risk classification and bias testing (via CrowS-Pairs), running entirely offline.",,,https://github.com/Hiepler/EuConform,https://github.com/Hiepler/EuConform.git,,,,,,2026-07-29 02:46,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
evidently,software,,"Open-source framework for evaluating, testing and monitoring ML and LLM systems, with 100+ metrics from data drift to LLM judges, pass/fail test suites for CI/CD, and a self-hostable monitoring dashboard.",,,https://github.com/evidentlyai/evidently,https://github.com/evidentlyai/evidently.git,,,,,,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
ezkl,software,,"Engine that generates zero-knowledge proofs (zk-SNARKs) of deep-learning model inference, usable from Python, JavaScript, or the CLI. No LICENSE file or license declaration was found in the repo -- flagged for review, do not assume a permissive license.",,,https://docs.ezkl.xyz/,https://github.com/zkonduit/ezkl,https://docs.ezkl.xyz/,,,,,2026-07-28 13:43,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
f-uji,software,,"FAIRsFAIR Research Data Object Assessment Service -- automatically scores a dataset's Findability, Accessibility, Interoperability and Reusability against the FAIR principles.",,,https://www.f-uji.net,https://github.com/pangaea-data-publisher/fuji.git,,,,,,2026-07-29 02:46,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
fairlearn,software,,"Python package for assessing and mitigating group-fairness harms in AI systems, combining disaggregated fairness metrics for model assessment with a set of unfairness mitigation algorithms.",,,https://fairlearn.org,https://github.com/fairlearn/fairlearn.git,,,,,,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
flowcept,software,,"Runtime provenance capture and queryable database for AI/ML and scientific workflows -- what data was used/generated, where it ran, and how workflow artifacts relate to each other, with a Python API, CLI, REST API and web UI.",,,https://github.com/ORNL/flowcept,https://github.com/ORNL/flowcept.git,,,,,,2026-07-29 02:38,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
flower,software,,Friendly federated learning framework for training models across decentralised data without centralising it.,,,https://github.com/flwrlabs/flower,https://github.com/flwrlabs/flower.git,,,,,,2026-07-29 02:08,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
fossology,software,,"Open-source license-compliance system and CLI toolkit that scans files for license, copyright and export-control declarations, deduplicates findings across a whole codebase, and generates SPDX documents.",,,https://fossology.github.io/,https://github.com/fossology/fossology.git,,,,,,2026-07-27 13:00,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
frai,software,,"Open-source CLI + SDK toolkit that scans code, collects compliance evidence, and generates model cards, risk files and evaluation reports.",,,https://github.com/sebuzdugan/frai,https://github.com/sebuzdugan/frai.git,,,,,,2026-07-29 00:11,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
garak,software,,"Command-line LLM vulnerability scanner that runs a large library of static, dynamic and adaptive probes with per-probe detectors against Hugging Face, OpenAI, Bedrock, Replicate, litellm, gguf and REST-accessible models.",,,https://github.com/NVIDIA/garak,https://github.com/NVIDIA/garak.git,,,,,,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
gce-tcb-verifier,software,,"Google's tools for creating and verifying signed 'launch endorsements' (golden firmware measurements) for Google Compute Engine Confidential VM firmware (SEV-SNP), letting a verifier check a VM's measurement against the golden reference.",,,https://github.com/google/gce-tcb-verifier,https://github.com/google/gce-tcb-verifier,,,,,,2026-07-29 15:27,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
gcp-dlp-pdf-redaction,software,,"Serverless, Terraform-deployable pipeline that automatically redacts sensitive information from PDF documents using Google Cloud DLP, Workflows and Cloud Run.",,,https://github.com/GoogleCloudPlatform/dlp-pdf-redaction,https://github.com/GoogleCloudPlatform/dlp-pdf-redaction.git,,,,,,2026-07-27 13:00,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
getprovenant-provenant,software,,"Fast Rust scanner that detects licenses, copyrights and package/provenance metadata across many ecosystems, builds full SBOMs with a closed dependency graph, and gates CI on license policy.",,,https://getprovenant.github.io,https://github.com/getprovenant/provenant.git,,,,,,2026-07-27 13:00,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
giskard,software,,"Open-source evaluation and testing library for LLM agents and ML models, scanning for vulnerabilities, bias, and other weaknesses.",,,https://github.com/Giskard-AI/giskard-oss,https://github.com/Giskard-AI/giskard-oss.git,,,,,,2026-07-29 02:08,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
google-differential-privacy,software,,"Google's differential privacy libraries for generating (epsilon, delta)-DP statistics over datasets, including end-to-end frameworks for Apache Beam and JVM data pipelines.",,,,https://github.com/google/differential-privacy,,,,,,2026-07-28 20:14,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
granite-guardian,software,,"Family of compact judge models that classify LLM prompts and responses for safety risks (jailbreak, bias, violence, sexual content), RAG hallucination/groundedness, and agentic function-call correctness, with support for custom criteria.",,,https://www.ibm.com/granite/docs/models/guardian,https://github.com/ibm-granite/granite-guardian,,,,,,2026-07-29 11:29,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
guardrailsai,software,,"Python framework that wraps LLM calls in composable Input and Output Guards built from Hub validators, detecting and quantifying specific risk types in prompts and responses and triggering configurable on-failure actions.",,,https://www.guardrailsai.com/docs,https://github.com/guardrails-ai/guardrails.git,,,,,,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
heartbench,software,,"Rubric-scored benchmark of 296 multi-turn dialogues and 2,818 expert-authored criteria measuring anthropomorphic capabilities of LLMs across personality, emotion, social, morality and motivation dimensions.",,,https://github.com/inclusionAI/HeartBench,https://github.com/inclusionAI/HeartBench.git,,,,,,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
icx360,software,,"Toolkit of context-attribution explainability methods for LLMs: MExGen attributes generated text to parts of the input context, CELL builds contrastive edited prompts to show what drives different outputs, and Token Highlighter flags gradient-critical tokens for jailbreak detection.",,,https://github.com/IBM/ICX360,https://github.com/IBM/ICX360,https://arxiv.org/abs/2511.10879,,,,,2026-07-29 11:29,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
imdl-benco,software,,"Comprehensive, actively maintained benchmark and codebase for image manipulation detection and localization, distinguishing pristine images from edited/manipulated ones.",,,https://scu-zjz.github.io/IMDLBenCo-doc/,https://github.com/scu-zjz/IMDLBenCo,https://scu-zjz.github.io/IMDLBenCo-doc/,,,,,2026-07-28 21:16,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
infosys-responsible-ai-toolkit,software,,"Modular open-source toolkit spanning safety/security checks, multiple explainability methods, fairness metrics and mitigation, and RAG hallucination quantification.",,,https://github.com/Infosys/Infosys-Responsible-AI-Toolkit,https://github.com/Infosys/Infosys-Responsible-AI-Toolkit.git,,,,,,2026-07-29 00:11,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
inspect,software,,"A Python framework from the UK AI Security Institute for building and running large language model evaluations, with built-in support for prompt engineering, tool use, multi-turn dialog and model-graded scoring.",,,https://inspect.aisi.org.uk/,https://github.com/UKGovernmentBEIS/inspect_ai.git,,,,,,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
intellabs-atlas-cli,software,,"CLI for creating, cryptographically signing and verifying C2PA provenance/authenticity manifests for ML models and datasets, with provenance links and transparency-log storage.",,,https://github.com/IntelLabs/atlas-cli,https://github.com/IntelLabs/atlas-cli.git,,,,,,2026-07-27 13:00,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
itext-pdfsweep-java,software,,"Java PDF redaction add-on that removes selected text, images or regions from documents entirely so the underlying content can no longer be extracted.",,,https://itextpdf.com/en/products/itext-7/pdfsweep,https://github.com/itext/itext-pdfsweep-java.git,,,,,,2026-07-27 13:00,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
jiff,software,,"JavaScript library for building applications using secure multi-party computation, usable in browser, mobile, or Node.js.",,,,https://github.com/multiparty/jiff,,,,,,2026-07-28 20:14,2026-08-06 07:38,2026-08-06 07:38,,,,,,,,,,,,,,,,,,,,,,,,,
