id,tool_type,name,summary,license,programming_language,homepage,source,documentation,funding,funder,stars,forks,watchers,contributors,last_commit_date,open_issues_count,releases_count,latest_release_date,readme_url,license_url,governance_url,contributing_url,code_of_conduct_url,security_policy_url,sbom_url,paper_url,openssf_best_practices_url,openssf_best_practices_badge_level,openssf_scorecard_url,openssf_scorecard_score,openssf_scorecard_branch_protection,openssf_scorecard_code_review,openssf_scorecard_maintained,openssf_scorecard_vulnerabilities,development_status,software_heritage_id,datetime_added,datetime_checked,datetime_updated
aisev,software,AI Safety Evaluation Environment (AISEV),"Dockerised evaluation tool and dataset suite from Japan AISI that operationalises the ten evaluation perspectives of its AI safety evaluation guide, combining statistical evaluation of system inputs/outputs with a qualitative evaluator questionnaire and automatic red-teaming prompt generation.",Apache-2.0,Python,https://github.com/Japan-AISI/aisev,https://github.com/Japan-AISI/aisev.git,,,,78,9,0,1,2026-04-17,2,5,2026-04-16,https://github.com/Japan-AISI/aisev/blob/main/README.md,https://github.com/Japan-AISI/aisev/blob/main/LICENSE,,,,,,,,,,,,,,,,,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38
amazon-sagemaker-clarify,software,SageMaker Clarify,"A Python library that computes bias metrics over datasets and model predictions with respect to user-declared sensitive facets and labels, producing a consolidated bias report.",Apache-2.0,Python,https://github.com/aws/amazon-sagemaker-clarify,https://github.com/aws/amazon-sagemaker-clarify.git,,,,75,41,15,17,2025-04-04,4,5,2023-04-04,https://github.com/aws/amazon-sagemaker-clarify/blob/master/README.md,https://github.com/aws/amazon-sagemaker-clarify/blob/master/LICENSE,,https://github.com/aws/amazon-sagemaker-clarify/blob/master/CONTRIBUTING.md,https://github.com/aws/amazon-sagemaker-clarify/blob/master/CODE_OF_CONDUCT.md,,https://api.github.com/repos/aws/amazon-sagemaker-clarify/dependency-graph/sbom,,,,,,,,,,,,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38
americanexpress-earlybird,software,EarlyBird,"Go tool that scans source repositories, local files, or git remotes for sensitive data such as cleartext passwords, PII, keys and weak cryptography.",Apache-2.0,Go,https://github.com/americanexpress/earlybird,https://github.com/americanexpress/earlybird.git,,,,774,93,16,24,2026-05-26,23,53,2026-05-19,https://github.com/americanexpress/earlybird/blob/main/README.md,https://github.com/americanexpress/earlybird/blob/main/LICENSE.txt,,,https://github.com/americanexpress/earlybird/blob/main/CODE_OF_CONDUCT.md,https://github.com/americanexpress/earlybird/blob/main/SECURITY.md,https://api.github.com/repos/americanexpress/earlybird/dependency-graph/sbom,,,,https://scorecard.dev/viewer/?uri=github.com/americanexpress/earlybird,5.2,1,7,10,,,,2026-07-27 13:00,2026-08-06 07:38,2026-08-06 07:38
anchore-grant,software,Grant,"CLI and Go library that inventories licenses across container images, SBOMs and filesystems and enforces allow/deny license policies for CI/CD.",Apache-2.0,Go,https://github.com/anchore/grant,https://github.com/anchore/grant.git,,,,179,19,9,15,2026-07-31,32,37,2026-07-08,https://github.com/anchore/grant/blob/main/README.md,https://github.com/anchore/grant/blob/main/LICENSE,,https://github.com/anchore/grant/blob/main/CONTRIBUTING.md,https://github.com/anchore/grant/blob/main/CODE_OF_CONDUCT.md,https://github.com/anchore/grant/blob/main/SECURITY.md,https://api.github.com/repos/anchore/grant/dependency-graph/sbom,,,,,,,,,,,,2026-07-27 13:00,2026-08-06 07:38,2026-08-06 07:38
api-police,software,API Police,"Black-box, API-only tool that verifies whether a third-party AI API is genuinely serving its claimed model, via a 7-layer verification framework (tokenizer fingerprints, capabilities, behavioural patterns, log-prob distributions, performance profile, knowledge boundaries, direct probes).",MIT,Python,https://github.com/Jorwnpay/API-Police,https://github.com/Jorwnpay/API-Police.git,,,,21,0,0,1,2026-03-24,0,0,,https://github.com/Jorwnpay/API-Police/blob/main/README.md,,,,,,,,,,,,,,,,,,2026-07-28 23:51,2026-08-06 07:38,2026-08-06 07:38
argus-redteam,software,Argus,"Black-box red-team testing framework for AI agents: 160+ adversarial probes (OWASP LLM Top 10, MITRE ATLAS, NIST AI RMF, garak wrappers, TAP/PAIR/GCG) targeting the production agent attack surface.",Apache-2.0,Python,https://github.com/gy15901580825/Argus,https://github.com/gy15901580825/Argus.git,,,,204,28,12,1,2026-05-28,6,0,,https://github.com/gy15901580825/Argus/blob/main/README.md,https://github.com/gy15901580825/Argus/blob/main/LICENSE,,,,,,,,,,,,,,,,,2026-07-29 00:11,2026-08-06 07:38,2026-08-06 07:38
assurance-platform,software,TEA Platform (Trustworthy and Ethical Assurance),"Web-based tool for building structured, graphical assurance cases -- evidence-backed arguments demonstrating how goals like fairness, explainability, safety or sustainability were achieved over a project's lifecycle.",MIT,TypeScript,https://github.com/alan-turing-institute/AssurancePlatform,https://github.com/alan-turing-institute/AssurancePlatform.git,,,,40,11,5,21,2026-08-01,3,6,2026-07-14,https://github.com/alan-turing-institute/AssurancePlatform/blob/main/README.md,https://github.com/alan-turing-institute/AssurancePlatform/blob/main/LICENSE,,https://github.com/alan-turing-institute/AssurancePlatform/blob/main/CONTRIBUTING.md,,,https://api.github.com/repos/alan-turing-institute/AssurancePlatform/dependency-graph/sbom,,,,,,,,,,,,2026-07-29 02:38,2026-08-06 07:38,2026-08-06 07:38
awslabs-ferret-scan,software,ferret-scan,"Offline Go CLI and library that detects PII, secrets and credentials in files and streams with context-aware confidence scoring and format-preserving redaction.",Apache-2.0,Go,https://www.ferretscan.com,https://github.com/awslabs/ferret-scan.git,,,,68,2,0,7,2026-08-05,4,80,2026-08-05,https://github.com/awslabs/ferret-scan/blob/main/README.md,https://github.com/awslabs/ferret-scan/blob/main/LICENSE.txt,,https://github.com/awslabs/ferret-scan/blob/main/CONTRIBUTING.md,https://github.com/awslabs/.github/blob/master/CODE_OF_CONDUCT.md,,https://api.github.com/repos/awslabs/ferret-scan/dependency-graph/sbom,,,,,,,,,,,,2026-07-27 13:00,2026-08-06 07:38,2026-08-06 07:38
boinc,software,BOINC,"Open-source middleware for volunteer and grid computing, distributing scientific compute workloads across contributed resources with resource-share weighting and credit accounting.",LGPL-3.0,C++,https://boinc.berkeley.edu,https://github.com/BOINC/boinc.git,,,,2446,520,112,233,2026-08-05,472,79,2026-06-15,https://github.com/BOINC/boinc/blob/master/README.md,https://github.com/BOINC/boinc/blob/master/COPYING,,https://github.com/BOINC/boinc/blob/master/CONTRIBUTING.md,https://github.com/BOINC/boinc/blob/master/CODE_OF_CONDUCT.md,,https://api.github.com/repos/BOINC/boinc/dependency-graph/sbom,,,,https://scorecard.dev/viewer/?uri=github.com/BOINC/boinc,4.4,3,6,10,,,,2026-07-29 02:44,2026-08-06 07:38,2026-08-06 07:38
c2pa-rs,software,C2PA Rust SDK,Rust implementation of the C2PA (Coalition for Content Provenance and Authenticity) standard: embeds and verifies cryptographically signed manifests recording an asset's source and edit history.,MIT,Rust,https://contentauthenticity.org/,https://github.com/contentauth/c2pa-rs,https://opensource.contentauthenticity.org/docs/rust-sdk/,,,377,175,13,51,2026-08-06,206,483,2026-08-06,https://github.com/contentauth/c2pa-rs/blob/main/README.md,,,https://github.com/contentauth/c2pa-rs/blob/main/CONTRIBUTING.md,https://github.com/contentauth/c2pa-rs/blob/main/CODE_OF_CONDUCT.md,https://github.com/contentauth/c2pa-rs/blob/main/SECURITY.md,https://api.github.com/repos/contentauth/c2pa-rs/dependency-graph/sbom,,,,,,,,,,,,2026-07-28 12:58,2026-08-06 07:38,2026-08-06 07:38
captum,software,Captum,Model interpretability and understanding library for PyTorch.,BSD-3-Clause,Python,https://github.com/meta-pytorch/captum,https://github.com/meta-pytorch/captum.git,,,,5683,560,277,145,2026-07-31,65,11,2026-04-17,https://github.com/meta-pytorch/captum/blob/master/README.md,https://github.com/meta-pytorch/captum/blob/master/LICENSE,,https://github.com/meta-pytorch/captum/blob/master/CONTRIBUTING.md,https://github.com/meta-pytorch/captum/blob/master/CODE_OF_CONDUCT.md,,https://api.github.com/repos/meta-pytorch/captum/dependency-graph/sbom,,,,,,,,,,,,2026-07-29 02:08,2026-08-06 07:38,2026-08-06 07:38
carbynestack,software,Carbyne Stack,Cloud-native secure multi-party computation stack for deploying MPC applications across organizational boundaries.,Apache-2.0,TypeScript,https://carbynestack.io/,https://github.com/carbynestack/carbynestack,,,,93,12,6,10,2025-10-27,9,12,2025-10-27,https://github.com/carbynestack/carbynestack/blob/master/README.md,https://github.com/carbynestack/carbynestack/blob/master/LICENSE,,https://github.com/carbynestack/carbynestack/blob/master/CONTRIBUTING.md,https://github.com/carbynestack/carbynestack/blob/master/CODE_OF_CONDUCT.md,,https://api.github.com/repos/carbynestack/carbynestack/dependency-graph/sbom,,,,,,,,,,,,2026-07-28 20:14,2026-08-06 07:38,2026-08-06 07:38
ccfingerprint,software,CCFingerprint,"CLI tool that probes a deployed AI model with capability/knowledge questions and locally, deterministically scores the answers to detect silent model swaps or capability downgrades behind an API, without trusting the model's self-report.",MIT,JavaScript,https://honeymeta.com/ccfingerprint,https://github.com/HoneyMeta/ccfingerprint,,,,28,1,4,1,2026-06-29,0,0,,https://github.com/HoneyMeta/ccfingerprint/blob/main/README.md,https://github.com/HoneyMeta/ccfingerprint/blob/main/LICENSE,,,,,,,,,,,,,,,,,2026-07-28 13:43,2026-08-06 07:38,2026-08-06 07:38
circuit-breakers,software,Circuit Breakers,"Reference implementation of representation-engineering-based circuit breaking, which retrains a model so that harmful internal representations are rerouted and generation is short-circuited during inference.",MIT,Jupyter Notebook,https://github.com/GraySwanAI/circuit-breakers,https://github.com/GraySwanAI/circuit-breakers.git,,,,266,42,15,3,2024-09-24,14,0,,https://github.com/GraySwanAI/circuit-breakers/blob/main/README.md,https://github.com/GraySwanAI/circuit-breakers/blob/main/LICENSE,,,,,https://api.github.com/repos/GraySwanAI/circuit-breakers/dependency-graph/sbom,,,,,,,,,,,,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38
cleanlab,software,cleanlab,"Data quality library using confident learning to automatically detect label errors, outliers and other problematic data at scale in real-world datasets.",Apache-2.0,Python,https://github.com/cleanlab/cleanlab,https://github.com/cleanlab/cleanlab.git,,,,11615,911,86,55,2026-01-13,113,21,2026-01-13,https://github.com/cleanlab/cleanlab/blob/master/README.md,https://github.com/cleanlab/cleanlab/blob/master/LICENSE,,https://github.com/cleanlab/cleanlab/blob/master/CONTRIBUTING.md,https://github.com/cleanlab/cleanlab/blob/master/CODE_OF_CONDUCT.md,,https://api.github.com/repos/cleanlab/cleanlab/dependency-graph/sbom,,,,https://scorecard.dev/viewer/?uri=github.com/cleanlab/cleanlab,3.7,-1,1,0,,,,2026-07-29 02:53,2026-08-06 07:38,2026-08-06 07:38
cloakllm,software,CloakLLM,"Open-source PII protection middleware for LLM prompts: reversible tokenization, per-entity HMAC-SHA256 hashing for cross-request correlation without storing PII, and cryptographically signed tamper-evident audit logs.",MIT,Python; JavaScript,https://github.com/cloakllm/,https://github.com/cloakllm/CloakLLM,,,,25,1,0,2,2026-07-17,3,0,,https://github.com/cloakllm/CloakLLM/blob/main/README.md,https://github.com/cloakllm/CloakLLM/blob/main/LICENSE,,https://github.com/cloakllm/CloakLLM/blob/main/CONTRIBUTING.md,,https://github.com/cloakllm/CloakLLM/blob/main/SECURITY.md,,,,,,,,,,,,,2026-07-28 19:45,2026-08-06 07:38,2026-08-06 07:38
cmc,software,CMC,"Academic (Fraunhofer AISEC) toolkit for remote attestation of computing platforms and attested TLS/HTTPS channels between them, supporting TPM, AMD SEV-SNP, Intel SGX and other TEE technologies.",Apache-2.0,C,https://github.com/Fraunhofer-AISEC/cmc,https://github.com/Fraunhofer-AISEC/cmc,,,,24,13,4,12,2026-08-05,3,18,2026-08-05,https://github.com/Fraunhofer-AISEC/cmc/blob/main/README.md,https://github.com/Fraunhofer-AISEC/cmc/blob/main/LICENSE,,https://github.com/Fraunhofer-AISEC/cmc/blob/main/CONTRIBUTING.md,,,,,,,,,,,,,,,2026-07-29 15:27,2026-08-06 07:38,2026-08-06 07:38
codecarbon,software,CodeCarbon,"Lightweight Python library and CLI that estimates the electricity consumption of CPU, GPU and RAM during a compute run and converts it to CO2 emissions using the carbon intensity of the region.",MIT,Python,https://docs.codecarbon.io/,https://github.com/mlco2/codecarbon.git,,https://github.com/sponsors/mlco2,,1894,307,26,130,2026-08-04,137,69,2026-08-04,https://github.com/mlco2/codecarbon/blob/master/README.md,https://github.com/mlco2/codecarbon/blob/master/LICENSE,,https://github.com/mlco2/codecarbon/blob/master/CONTRIBUTING.md,https://github.com/mlco2/codecarbon/blob/master/CODE_OF_CONDUCT.md,https://github.com/mlco2/codecarbon/blob/master/SECURITY.md,https://api.github.com/repos/mlco2/codecarbon/dependency-graph/sbom,,https://www.bestpractices.dev/projects/10864,in_progress,https://scorecard.dev/viewer/?uri=github.com/mlco2/codecarbon,7.6,-1,8,10,1,,,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38
compl-ai,software,COMPL-AI,"Compliance-centred LLM benchmarking suite built on the Inspect framework that pairs a technical interpretation of the EU AI Act with 29+ mapped benchmarks and a complai eval CLI covering API, cloud and local providers.",Apache-2.0,Python,https://compl-ai.org,https://github.com/compl-ai/compl-ai.git,,,,201,34,7,11,2026-07-28,2,0,,https://github.com/compl-ai/compl-ai/blob/main/README.md,https://github.com/compl-ai/compl-ai/blob/main/LICENSE,,,,,https://api.github.com/repos/compl-ai/compl-ai/dependency-graph/sbom,,,,,,,,,,,,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38
confidential-computing-zoo,software,Confidential Computing Zoo (CCZoo),"Intel's collection of code-ready reference solutions applying TEE (SGX/TDX), homomorphic encryption, and remote attestation to real cloud business scenarios, including cloud-native AI inference on AWS/Azure/Alibaba/Tencent.",Apache-2.0,C++,https://github.com/intel/confidential-computing-zoo,https://github.com/intel/confidential-computing-zoo,,,,359,71,10,33,2026-08-03,4,11,2025-07-04,https://github.com/intel/confidential-computing-zoo/blob/main/README.md,https://github.com/intel/confidential-computing-zoo/blob/main/LICENSE.txt,,https://github.com/intel/.github/blob/main/CONTRIBUTING.md,https://github.com/intel/.github/blob/main/CODE_OF_CONDUCT.md,,https://api.github.com/repos/intel/confidential-computing-zoo/dependency-graph/sbom,,,,https://scorecard.dev/viewer/?uri=github.com/intel/confidential-computing-zoo,4.8,3,0,10,,,,2026-07-29 15:13,2026-08-06 07:38,2026-08-06 07:38
contextual-privacy-llm,software,Contextual Privacy for LLMs,"Local pipeline that detects a user's intent behind a query, identifies which prompt details are unnecessary for that intent, and reformulates the prompt to strip out-of-context private information before it reaches a conversational agent.",Apache-2.0,Python,https://github.com/IBM/contextual-privacy-LLM,https://github.com/IBM/contextual-privacy-LLM,,,,12,3,0,4,2025-09-18,3,0,,https://github.com/IBM/contextual-privacy-LLM/blob/main/README.md,https://github.com/IBM/contextual-privacy-LLM/blob/main/LICENSE,,,,,,,,,,,,,,,,,2026-07-29 11:39,2026-08-06 07:38,2026-08-06 07:38
cosai-risk-map,software,CoSAI Risk Map,"Cross-industry (Google/Microsoft/OpenAI/Anthropic/IBM/Cisco et al., under OASIS) framework mapping AI-lifecycle components to risks, controls and personas as machine-readable YAML/JSON, plus an interactive web explorer, aligned with MITRE ATLAS, NIST AI RMF, STRIDE and OWASP LLM Top 10.",Apache-2.0,Python,https://cosai-oasis.github.io/secure-ai-tooling/,https://github.com/cosai-oasis/secure-ai-tooling.git,,,,98,36,8,10,2026-08-06,85,0,,https://github.com/cosai-oasis/secure-ai-tooling/blob/main/README.md,https://github.com/cosai-oasis/secure-ai-tooling/blob/main/LICENSE.md,,https://github.com/cosai-oasis/secure-ai-tooling/blob/main/CONTRIBUTING.md,https://github.com/cosai-oasis/secure-ai-tooling/blob/main/CODE-OF-CONDUCT.md,,https://api.github.com/repos/cosai-oasis/secure-ai-tooling/dependency-graph/sbom,,,,,,,,,,,,2026-07-29 02:51,2026-08-06 07:38,2026-08-06 07:38
dangerous-capability-evaluations,software,Dangerous Capability Evaluations,"DeepMind's evaluation tasks/benchmarks (CTF, self-proliferation, self-reasoning challenges) for probing whether frontier models exhibit dangerous dual-use capabilities.",Apache-2.0,Python,https://github.com/google-deepmind/dangerous-capability-evaluations,https://github.com/google-deepmind/dangerous-capability-evaluations.git,,,,74,6,5,3,2026-06-16,25,0,,https://github.com/google-deepmind/dangerous-capability-evaluations/blob/main/README.md,https://github.com/google-deepmind/dangerous-capability-evaluations/blob/main/LICENSE,,https://github.com/google-deepmind/dangerous-capability-evaluations/blob/main/CONTRIBUTING.md,,,https://api.github.com/repos/google-deepmind/dangerous-capability-evaluations/dependency-graph/sbom,,,,,,,,,,,,2026-07-29 00:03,2026-08-06 07:38,2026-08-06 07:38
data-prep-kit,software,Data Prep Kit,"Linux Foundation toolkit of composable data transforms for cleansing, filtering and enriching unstructured pre-training and RAG data, running on Python and Ray runtimes from a laptop up to Kubernetes/Tekton datacenter pipelines.",Apache-2.0,Python,https://data-prep-kit.github.io/data-prep-kit/,https://github.com/data-prep-kit/data-prep-kit.git,,,,952,253,18,91,2026-07-14,223,17,2026-06-22,https://github.com/data-prep-kit/data-prep-kit/blob/dev/README.md,https://github.com/data-prep-kit/data-prep-kit/blob/dev/LICENSE,https://github.com/data-prep-kit/data-prep-kit/blob/dev/GOVERNANCE.md,https://github.com/data-prep-kit/data-prep-kit/blob/dev/CONTRIBUTING.md,https://github.com/data-prep-kit/data-prep-kit/blob/dev/CODE_OF_CONDUCT.md,,https://api.github.com/repos/data-prep-kit/data-prep-kit/dependency-graph/sbom,,https://www.bestpractices.dev/projects/10250,in_progress,,,,,,,,,2026-07-28 09:57,2026-08-06 07:38,2026-08-06 07:38
datafog-python,software,DataFog,"Offline Python library for detecting and redacting PII via regex and optional NER, with a distributed Spark profile for scanning large datasets.",MIT,Python,https://datafog.ai,https://github.com/DataFog/datafog-python.git,,,,67,14,2,6,2026-08-06,6,30,2026-08-06,https://github.com/DataFog/datafog-python/blob/dev/README.md,https://github.com/DataFog/datafog-python/blob/dev/LICENSE,,https://github.com/DataFog/datafog-python/blob/dev/CONTRIBUTING.md,https://github.com/DataFog/datafog-python/blob/dev/CODE_OF_CONDUCT.md,https://github.com/DataFog/datafog-python/blob/dev/SECURITY.md,https://api.github.com/repos/DataFog/datafog-python/dependency-graph/sbom,,,,,,,,,,,,2026-07-27 13:00,2026-08-06 07:38,2026-08-06 07:38
datainfra-redactioneverything,software,RedactionEverything,"Local-first redaction workbench that combines NER, OCR and visual grounding to detect and anonymize sensitive text and visual elements (names, IDs, seals, faces, signatures) across documents, scanned PDFs and images, with batch processing and export.",,Python,https://github.com/TracyWang95/DataInfra-RedactionEverything,https://github.com/TracyWang95/DataInfra-RedactionEverything.git,,,,1151,168,111,4,2026-08-04,0,0,,https://github.com/TracyWang95/DataInfra-RedactionEverything/blob/main/README.md,,,,,https://github.com/TracyWang95/DataInfra-RedactionEverything/blob/main/SECURITY.md,,,,,,,,,,,,,2026-07-27 13:00,2026-08-06 07:38,2026-08-06 07:38
